actors;;;date;movie;press_rating;producer;spectators_rating
196,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
197,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
198,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
199,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
200,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
201,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
202,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
203,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
204,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
205,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
206,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
207,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
208,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
209,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
210,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
211,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
212,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
213,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
