,actor,date,movie,press_rating,producer,spectators_rating
319,"
                Avec
                                                                                                                                        Jason Clarke,
                                                                                                                        Jake Gyllenhaal,
                                                                                                                        Josh Brolin
",23 septembre 2015,Everest,"
                2,9",Baltasar Kormákur,"
                3,9"
320,"
                Avec
                                                                                                                                        Karl Glusman,
                                                                                                                        Aomi Muyock,
                                                                                                                        Klara Kristin
",15 juillet 2015,Love,"
                3,3",Gaspar Noé,"
                3,2"
321,"
                Avec
                                                                                                                                        Tilda Swinton,
                                                                                                                        Ralph Fiennes,
                                                                                                                        Dakota Johnson
",6 avril 2016,A Bigger Splash,"
                2,3",Luca Guadagnino,"
                2,6"
322,"
                Avec
                                                                                                                                        Orelsan,
                                                                                                                        Gringe,
                                                                                                                        Seydou Doucouré
",9 décembre 2015,Comment c’est loin,"
                3,4",Orelsan,"
                4,1"
323,"
                Avec
                                                                                                                                        Emily Blunt,
                                                                                                                        Benicio Del Toro,
                                                                                                                        Josh Brolin
",7 octobre 2015,Sicario,"
                4,0",Denis Villeneuve,"
                3,9"
324,"
                Avec
                                                                                                                                        Samuel L. Jackson,
                                                                                                                        Kurt Russell,
                                                                                                                        Jennifer Jason Leigh
",6 janvier 2016,Les Huit salopards,"
                3,3",Quentin Tarantino,"
                4,1"
325,"
                Avec
                                                                                                                                        Güneş Nezihe Şensoy,
                                                                                                                        Doğa Zeynep Doğuşlu,
                                                                                                                        Elit İşcan
",17 juin 2015,Mustang,"
                4,0",Deniz Gamze Ergüven,"
                4,3"
326,"
                Avec
                                                                                                                                        Dylan O'Brien,
                                                                                                                        Ki Hong Lee,
                                                                                                                        Kaya Scodelario
",7 octobre 2015,Le Labyrinthe : La Terre brûlée,"
                3,0",Wes Ball,"
                3,5"
327,"
                Avec
                                                                                                                                        Tomer Sisley,
                                                                                                                        Terence Yin,
                                                                                                                        Pascal Greggory
",5 avril 2017,Le Serpent aux mille coupures,"
                3,0",Eric Valette,"
                2,4"
328,"
                Avec
                                                                                                                                        Hafsia Herzi,
                                                                                                                        Ash Stymest,
                                                                                                                        Karole Rocher
",7 décembre 2016,Sex Doll,"
                2,5",Sylvie Verheyde,"
                2,2"
329,"
                Avec
                                                                                                                                        Lou de Laâge,
                                                                                                                        Vincent Macaigne,
                                                                                                                        Agata Buzek
",10 février 2016,Les Innocentes,"
                3,8",Anne Fontaine,"
                4,0"
330,"
                Avec
                                                                                                                                        Eddie Redmayne,
                                                                                                                        Alicia Vikander,
                                                                                                                        Ben Whishaw
",20 janvier 2016,The Danish Girl,"
                2,7",Tom Hooper,"
                4,1"
331,"
                Avec
                                                                                                                                        Pierfrancesco Favino,
                                                                                                                        Elio Germano,
                                                                                                                        Claudio Amendola
",9 décembre 2015,Suburra,"
                3,6",Stefano Sollima,"
                4,1"
332,"
                Avec
                                                                                                                                        Koji Yakusho,
                                                                                                                        Aoi Miyazaki,
                                                                                                                        Shôta Sometani
",13 janvier 2016,Le Garçon et la Bête,"
                4,0",Mamoru Hosoda,"
                4,4"
333,"
                Avec
                                                                                                                                        Christian Bale,
                                                                                                                        Steve Carell,
                                                                                                                        Ryan Gosling
",23 décembre 2015,The Big Short : le Casse du siècle,"
                3,5",Adam McKay,"
                3,6"
334,"
                Avec
                                                                                                                                        Mélanie Laurent,
                                                                                                                        Cyril Dion,
                                                                                                                        Jeremy Rifkin
",2 décembre 2015,Demain,"
                3,8",Cyril Dion,"
                4,6"
335,"
                Avec
                                                                                                                                        Michael Keaton,
                                                                                                                        Mark Ruffalo,
                                                                                                                        Rachel McAdams
",27 janvier 2016,Spotlight,"
                4,0",Tom McCarthy,"
                4,2"
336,"
                Avec
                                                                                                                                        Loubna Abidar,
                                                                                                                        Asmaa Lazrak,
                                                                                                                        Halima Karaouane
",16 septembre 2015,Much Loved,"
                4,0",Nabil Ayouch,"
                3,5"
337,"
                Avec
                                                                                                                                        Liam Neeson,
                                                                                                                        Ed Harris,
                                                                                                                        Joel Kinnaman
",11 mars 2015,Night Run,"
                2,5",Jaume Collet-Serra,"
                3,4"
338,"
                Avec
                                                                                                                                        Isabelle Huppert,
                                                                                                                        Laurent Lafitte,
                                                                                                                        Anne Consigny
",25 mai 2016,Elle,"
                4,3",Paul Verhoeven,"
                3,4"
339,"
                Avec
                                                                                                                                        Tom Hardy,
                                                                                                                        Charlize Theron,
                                                                                                                        Zoë Kravitz
",14 mai 2015,Mad Max: Fury Road,"
                4,4",George Miller,"
                4,2"
340,"
                Avec
                                                                                                                                        Miles Teller,
                                                                                                                        Kate Mara,
                                                                                                                        Michael B. Jordan
",5 août 2015,Les 4 Fantastiques,"
                2,0",Josh Trank,"
                1,8"
341,"
                Avec
                                                                                                                                        Vincent Cassel,
                                                                                                                        Emmanuelle Bercot,
                                                                                                                        Louis Garrel
",21 octobre 2015,Mon Roi,"
                3,2",Maïwenn,"
                4,0"
342,"
                Avec
                                                                                                                                        Channing Tatum,
                                                                                                                        Mila Kunis,
                                                                                                                        Sean Bean
",4 février 2015,Jupiter : Le destin de l'Univers,"
                3,0",Lilly Wachowski,"
                2,5"
343,"
                Avec
                                                                                                                                        Héloïse Martin,
                                                                                                                        Sylvie Testud,
                                                                                                                        Cyril Gueï
",26 octobre 2016,Tamara,"
                3,2",Alexandre Castagnetti,"
                3,9"
344,"
                Avec
                                                                                                                                        Bradley Cooper,
                                                                                                                        Sienna Miller,
                                                                                                                        Luke Grimes
",18 février 2015,American Sniper,"
                3,8",Clint Eastwood,"
                4,1"
345,"
                Avec
                                                                                                                                        Sauvane Delanoe,
                                                                                                                        Emmanuel Gradi,
                                                                                                                        Laetitia Lefebvre
",3 février 2016,Dofus - Livre 1 : Julith,"
                2,8",Anthony Roux,"
                4,4"
346,"
                Avec
                                                                                                                                        Saoirse Ronan,
                                                                                                                        Domhnall Gleeson,
                                                                                                                        Emory Cohen
",9 mars 2016,Brooklyn,"
                3,4",John Crowley,"
                3,9"
347,"
                Avec
                                                                                                                                        Pilou Asbæk,
                                                                                                                        Lars Mikkelsen,
                                                                                                                        Gustav Dyekjaer Giese
",17 octobre 2017,Invasion day,"
                0",Roni Ezra,"
                3,0"
348,"
                Avec
                                                                                                                                        Anthony Hopkins,
                                                                                                                        Jeffrey Dean Morgan,
                                                                                                                        Abbie Cornish
",9 septembre 2015,Prémonitions,"
                2,8",Afonso Poyart,"
                3,5"
349,"
                Avec
                                                                                                                                        Colin Farrell,
                                                                                                                        Rachel Weisz,
                                                                                                                        Jessica Barden
",28 octobre 2015,The Lobster,"
                3,4",Yórgos Lánthimos,"
                3,2"
350,"
                Avec
                                                                                                                                        Antonio de la Torre,
                                                                                                                        Luis Callejo,
                                                                                                                        Ruth Diaz
",26 avril 2017,La Colère d’un homme patient,"
                3,6",Raúl Arévalo,"
                3,1"
351,"
                Avec
                                                                                                                                        Henry Cavill,
                                                                                                                        Armie Hammer,
                                                                                                                        Alicia Vikander
",16 septembre 2015,Agents très spéciaux - Code U.N.C.L.E,"
                3,3",Guy Ritchie,"
                4,0"
352,"
                Avec
                                                                                                                                        Philippe Lacheau,
                                                                                                                        Alice David,
                                                                                                                        Vincent Desagnat
",2 décembre 2015,Babysitting 2,"
                2,2",Nicolas Benamou,"
                3,6"
353,"
                Avec
                                                                                                                                        Jake Gyllenhaal,
                                                                                                                        Rachel McAdams,
                                                                                                                        Forest Whitaker
",22 juillet 2015,La Rage au ventre,"
                3,4",Antoine Fuqua,"
                4,3"
354,"
                Avec
                                                                                                                                        Soria Zeroual,
                                                                                                                        Zita Hanrot,
                                                                                                                        Kenza Noah Aïche
",7 octobre 2015,Fatima,"
                4,3",Philippe Faucon,"
                3,6"
355,"
                Avec
                                                                                                                                        Emma Watson,
                                                                                                                        Daniel Brühl,
                                                                                                                        Michael Nyqvist
",20 juillet 2016,Colonia,"
                2,9",Florian Gallenberger,"
                4,2"
356,"
                Avec
                                                                                                                                        Paul Rudd,
                                                                                                                        Evangeline Lilly,
                                                                                                                        Corey Stoll
",14 juillet 2015,Ant-Man,"
                3,3",Peyton Reed,"
                3,9"
357,"
                Avec
                                                                                                                                        Shaïn Boumedine,
                                                                                                                        Ophélie Bau,
                                                                                                                        Salim Kechiouche
",21 mars 2018,Mektoub My Love : Canto Uno,"
                4,0",Abdellatif Kechiche,"
                3,3"
358,"
                Avec
                                                                                                                                        Alain Hernández,
                                                                                                                        Javier Gutiérrez,
                                                                                                                        Luis Tosar
",2 novembre 2017,Insiders: Escape Plan,"
                0",Iñaki Dorronsoro,"
                2,8"
359,"
                Avec
                                                                                                                                        Andrew Bargsted,
                                                                                                                        Francisco Pérez-Bannen,
                                                                                                                        Eliseo Fernández
",14 mars 2018,Mala Junta,"
                2,7",Claudia Huaiquimilla,"
                3,0"
360,"
                Avec
                                                                                                                                        Gilles Lellouche,
                                                                                                                        Louise Bourgoin,
                                                                                                                        Manu Payet
",19 avril 2017,Sous le même toit,"
                2,8",Dominique Farrugia,"
                2,2"
361,"
                Avec
                                                                                                                                        Catherine Deneuve,
                                                                                                                        Diane Kruger,
                                                                                                                        Nekfeu
",8 novembre 2017,Tout nous sépare,"
                2,8",Thierry Klifa,"
                2,9"
362,"
                Avec
                                                                                                                                        Luis Tosar,
                                                                                                                        Raúl Arévalo,
                                                                                                                        Rodrigo De la Serna
",24 janvier 2017,Insiders,"
                0",Daniel Calparsoro,"
                2,4"
363,"
                Avec
                                                                                                                                        Garik Kharlamov,
                                                                                                                        Ivan Okhlobystin,
                                                                                                                        Olga Zubkova
",14 février 2018,La Princesse des glaces,"
                2,6",Aleksey Tsitsilin,"
                3,0"
364,"
                Avec
                                                                                                                                        Medi Sadoun,
                                                                                                                        Anne Marivin,
                                                                                                                        Pascal Demolon
",8 mars 2017,Baby Phone,"
                2,5",Olivier Casas,"
                3,0"
365,"
                Avec
                                                                                                                                        Quim Gutiérrez,
                                                                                                                        Verónica Echegui,
                                                                                                                        Aura Garrido
",8 mars 2018,La Jeune fille et la brume,"
                0",Andrés M. Koppel,"
                2,8"
366,"
                Avec
                                                                                                                                        Céline Sallette,
                                                                                                                        Lambert Wilson,
                                                                                                                        Stéphane De Groodt
",5 avril 2017,Corporate,"
                3,4",Nicolas Silhol,"
                3,8"
367,"
                Avec
                                                                                                                                        Rebecca Hall,
                                                                                                                        Dan Stevens,
                                                                                                                        Gina Gershon
",1 mars 2018,Permission,"
                0",Brian Crano,"
                2,4"
368,"
                Avec
                                                                                                                                        Dev Patel,
                                                                                                                        Rooney Mara,
                                                                                                                        Nicole Kidman
",22 février 2017,Lion,"
                3,1",Garth Davis,"
                4,5"
369,"
                Avec
                                                                                                                                        Ryûnosuke Kamiki,
                                                                                                                        Mone Kamishiraishi,
                                                                                                                        Masami Nagasawa
",28 décembre 2016,Your Name,"
                4,0",Makoto Shinkai,"
                4,6"
370,"
                Avec
                                    acteurs inconnus
                            ",27 septembre 2017,L'Intelligence des Arbres,"
                2,8",Julia Dordel,"
                3,7"
371,"
                Avec
                                                                                                                                        Emma Booth,
                                                                                                                        Ashleigh Cummings,
                                                                                                                        Stephen Curry
",12 juillet 2017,Love Hunters,"
                3,4",Ben Young,"
                3,6"
372,"
                Avec
                                                                                                                                        Laetitia Dosch,
                                                                                                                        Grégoire Monsaingeon,
                                                                                                                        Souleymane Seye Ndiaye
",1 novembre 2017,Jeune Femme,"
                3,9",Léonor Serraille,"
                3,5"
373,"
                Avec
                                                                                                                                        Garance Marillier,
                                                                                                                        Ella Rumpf,
                                                                                                                        Rabah Naït Oufella
",15 mars 2017,Grave,"
                4,1",Julia Ducournau,"
                3,6"
374,"
                Avec
                                                                                                                                        Kad Merad,
                                                                                                                        Samir Guesmi,
                                                                                                                        Renély Alfred
",8 novembre 2017,La Mélodie,"
                2,9",Rachid Hami,"
                3,4"
375,"
                Avec
                                                                                                                                        Nawell Madani,
                                                                                                                        François Berléand,
                                                                                                                        Mimoun Benabderrahmane
",29 novembre 2017,C'est tout pour moi,"
                3,0",Nawell Madani,"
                4,5"
376,"
                Avec
                                                                                                                                        Ryan Reynolds,
                                                                                                                        Morena Baccarin,
                                                                                                                        Ed Skrein
",10 février 2016,Deadpool,"
                3,0",Tim Miller,"
                4,2"
377,"
                Avec
                                                                                                                                        James McAvoy,
                                                                                                                        Anya Taylor-Joy,
                                                                                                                        Betty Buckley
",22 février 2017,Split,"
                3,7",M. Night Shyamalan,"
                4,1"
378,"
                Avec
                                                                                                                                        Ryan Gosling,
                                                                                                                        Emma Stone,
                                                                                                                        John Legend
",25 janvier 2017,La La Land,"
                4,4",Damien Chazelle,"
                4,3"
379,"
                Avec
                                                                                                                                        Andrew Garfield,
                                                                                                                        Vince Vaughn,
                                                                                                                        Teresa Palmer
",9 novembre 2016,Tu ne tueras point,"
                3,0",Mel Gibson,"
                4,5"
380,"
                Avec
                                                                                                                                        Eddie Redmayne,
                                                                                                                        Katherine Waterston,
                                                                                                                        Dan Fogler
",16 novembre 2016,Les Animaux fantastiques,"
                3,5",David Yates,"
                4,1"
381,"
                Avec
                                                                                                                                        Emmanuelle Devos,
                                                                                                                        Suzanne Clément,
                                                                                                                        Richard Berry
",11 octobre 2017,Numéro Une,"
                3,3",Tonie Marshall,"
                3,4"
382,"
                Avec
                                                                                                                                        Wes Bentley,
                                                                                                                        Jaimie Alexander,
                                                                                                                        Cam Gigandet
",7 février 2017,Dangereuse attraction,"
                0",Bram Coppens,"
                2,2"
383,"
                Avec
                                                                                                                                        Benedict Cumberbatch,
                                                                                                                        Chiwetel Ejiofor,
                                                                                                                        Tilda Swinton
",26 octobre 2016,Doctor Strange,"
                3,1",Scott Derrickson,"
                4,0"
384,"
                Avec
                                                                                                                                        Adèle Haenel,
                                                                                                                        Adèle Exarchopoulos,
                                                                                                                        Solène Rigot
",29 mars 2017,Orpheline,"
                3,2",Arnaud des Pallières,"
                2,9"
385,"
                Avec
                                                                                                                                        Chris Evans,
                                                                                                                        Robert Downey Jr.,
                                                                                                                        Scarlett Johansson
",27 avril 2016,Captain America: Civil War,"
                3,2",Anthony Russo,"
                4,0"
386,"
                Avec
                                                                                                                                        Omar Sy,
                                                                                                                        Gloria Colston,
                                                                                                                        Clémence Poésy
",7 décembre 2016,Demain Tout Commence,"
                3,2",Hugo Gélin,"
                4,3"
387,"
                Avec
                                                                                                                                        Ross O'Hennessy,
                                                                                                                        Ben Loyd-Holmes,
                                                                                                                        Silvio Simac
",2 février 2018,Knights of the Damned,"
                0",Simon Wells,"
                2,6"
388,"
                Avec
                                                                                                                                        Taraji P. Henson,
                                                                                                                        Octavia Spencer,
                                                                                                                        Janelle Monáe
",8 mars 2017,Les Figures de l'ombre,"
                3,3",Theodore Melfi,"
                4,4"
389,"
                Avec
                                                                                                                                        Ahmed Sylla,
                                                                                                                        Alice Belaïdi,
                                                                                                                        Kevin Razy
",25 janvier 2017,L'Ascension,"
                3,6",Ludovic Bernard,"
                4,1"
390,"
                Avec
                                                                                                                                        Margot Robbie,
                                                                                                                        Will Smith,
                                                                                                                        Jared Leto
",3 août 2016,Suicide Squad,"
                2,0",David Ayer,"
                2,9"
391,"
                Avec
                                                                                                                                        Charlie Hunnam,
                                                                                                                        Sienna Miller,
                                                                                                                        Tom Holland
",15 mars 2017,The Lost City of Z,"
                4,5",James Gray,"
                3,8"
392,"
                Avec
                                                                                                                                        Amy Adams,
                                                                                                                        Jeremy Renner,
                                                                                                                        Forest Whitaker
",7 décembre 2016,Premier Contact,"
                4,1",Denis Villeneuve,"
                4,1"
393,"
                Avec
                                                                                                                                        Jessica Chastain,
                                                                                                                        Mark Strong,
                                                                                                                        Sam Waterston
",8 mars 2017,Miss Sloane,"
                3,2",John Madden,"
                4,1"
394,"
                Avec
                                                                                                                                        Emilia Clarke,
                                                                                                                        Sam Claflin,
                                                                                                                        Janet McTeer
",22 juin 2016,Avant toi,"
                2,9",Thea Sharrock,"
                4,3"
395,"
                Avec
                                                                                                                                        Jennifer Lawrence,
                                                                                                                        Chris Pratt,
                                                                                                                        Michael Sheen
",28 décembre 2016,Passengers,"
                3,2",Morten Tyldum,"
                3,9"
396,"
                Avec
                                                                                                                                        Viggo Mortensen,
                                                                                                                        Frank Langella,
                                                                                                                        George MacKay
",12 octobre 2016,Captain Fantastic,"
                3,6",Matt Ross,"
                4,3"
397,"
                Avec
                                                                                                                                        Ryan Gosling,
                                                                                                                        Russell Crowe,
                                                                                                                        Margaret Qualley
",15 mai 2016,The Nice Guys,"
                3,7",Shane Black,"
                3,8"
398,"
                Avec
                                                                                                                                        Cerise Calixte,
                                                                                                                        Anthony Kavanagh,
                                                                                                                        Mareva Galanter
",30 novembre 2016,"Vaiana, la légende du bout du monde","
                3,6",John Musker,"
                4,2"
399,"
                Avec
                                                                                                                                        Guillaume Canet,
                                                                                                                        Marion Cotillard,
                                                                                                                        Gilles Lellouche
",15 février 2017,Rock'n Roll,"
                3,3",Guillaume Canet,"
                2,7"
400,"
                Avec
                                                                                                                                        Clémence Poésy,
                                                                                                                        David Morrissey,
                                                                                                                        Stephen Campbell Moore
",22 mars 2017,London House,"
                3,0",David Farr,"
                2,6"
401,"
                Avec
                                                                                                                                        Louise Bourgoin,
                                                                                                                        Stéphane De Groodt,
                                                                                                                        Pierre-François Martin-Laval
",20 septembre 2017,L'un dans l'autre,"
                1,9",Bruno Chiche,"
                2,6"
