,actors,date,movie,press_rating,producer,spectators_rating
2444,Guillaume Gouix ; Anne Le Ny ; Bernadette Lafont ; ,30 octobre 2013,Attila Marcel,3.4,Sylvain Chomet ; ,3.5
2445,Roger Hanin ; Andréa Ferréol ; Jean-Claude Dauphin ; ,10 juillet 2004,Au bon beurre,,Edouard Molinaro ; ,3.6
2446,George Lazenby ; Diana Rigg ; Telly Savalas ; ,12 décembre 1969,Au service secret de sa Majesté,,Peter Hunt ; ,3.1
2447,Alexander Mendeluk ; Kate Nauta ; Benjamin Easterday ; ,6 mai 2014,Avalanche Sharks - les dents de la neige,,Scott Wheeler (II) ; ,1.5
2448,Xavier Samuel ; Phoebe Tonkin ; Sharni Vinson ; ,5 juin 2013,Bait,,Kimble Rendall ; ,2.3
2449,Paul Mercurio ; Tara Morice ; Bill Hunter ; ,2 septembre 1992,Ballroom dancing,,Baz Luhrmann ; ,3.5
2450,Denis Podalydès ; Samir Guesmi ; Bruno Podalydès ; ,8 juillet 2009,Bancs publics (Versailles rive droite),3.4,Bruno Podalydès ; ,2.3
2451,Barbra Streisand ; Chris Pine ; Melissa McCarthy ; ,23 novembre 2017,Barbra: The Music…The Mem’ries…The Magic!,,Barbra Streisand ; ,3.2
2452,Vincent Price ; Barrie Ingham ; Val Bettin ; ,26 novembre 2003,"Basil, détective privé",,Ron Clements ; Burny Mattinson ; David Michener ; ,3.6
2453,John Travolta ; Uma Thurman ; Vince Vaughn ; ,23 mars 2005,Be Cool,3.0,F. Gary Gray ; ,2.2
2454,Jack Black ; Shirley MacLaine ; Matthew McConaughey ; ,5 novembre 2014,Bernie,,Richard Linklater ; ,3.5
2455,Yasmine Belmadi ; Karim Belkhadra ; Julien Courbey ; ,17 mai 2006,Beur blanc rouge,2.7,Mahmoud Zemmouri ; ,2.2
2456,David Schwimmer ; Simon Pegg ; Alice Eve ; ,20 septembre 2006,Big Nothing,,Jean-Baptiste Andrea ; ,3.7
2457,Jim Caviezel ; Greg Kinnear ; Bridget Moynahan ; ,22 janvier 2009,Blackout,,Simon Brand ; ,3.0
2458,Jeff Bridges ; Tommy Lee Jones ; Lloyd Bridges ; ,16 novembre 1994,Blown Away,,Stephen Hopkins ; ,2.7
2459,Barry Watson ; Emily Deschanel ; Skye McCole Bartusiak ; ,28 juin 2006,Boogeyman - La porte des cauchemars,2.1,Stephen T. Kay ; ,1.6
2460,Jean-Paul Belmondo ; Alain Delon ; Andre Bollet ; ,1 mars 1970,Borsalino,,Jacques Deray ; ,3.4
2461,Matthew Marsden ; Kristanna Loken ; Christian Pitre ; ,14 avril 2014,Bounty Killer,,Henry Saine ; ,2.8
2462,Didier Bourdon ; Bérénice Bejo ; Marc-André Grondin ; ,5 novembre 2008,Bouquet final,2.8,Michel Delgado ; ,2.8
2463,Stéphane Rideau ; Marie-Anne Chazel ; Bruno Lochet ; ,1 décembre 2011,"Brassens, la mauvaise réputation",,Gerard Marx ; ,3.0
2464,Philippe Torreton ; Maria Pitarresi ; Nadia Kaci ; ,12 mars 1999,Ça commence aujourd'hui,4.1,Bertrand Tavernier ; ,3.7
2465,Catherine Frot ; Fanny Cottençon ; Sam Karmann ; ,6 mai 1998,Ça reste entre nous,,Martin Lamotte ; ,2.7
2466,Roschdy Zem ; Rafik Ben Mebarek ; Jean-Noël Cridlig-Veneziano ; ,29 juin 2005,Camping à la ferme,3.1,Jean-Pierre Sinapi ; ,2.2
