,actor,date,movie,press_rating,producer,spectators_rating
147,Colin Farrell,15 août 2012,Total Recall Mémoires Programmées,"1,9",Len Wiseman,"2,9"
148,Fabrice Luchini,10 octobre 2012,Dans la maison,"3,5",François Ozon,"3,9"
149,Britt Robertson,31 janvier 2017,The First Time,,Jon Kasdan,"4,2"
150,Gaspard Ulliel,28 novembre 2012,Les Cinq légendes,"3,4",Peter Ramsey,"4,2"
151,Naomi Watts,21 novembre 2012,The Impossible,"3,1",Juan Antonio Bayona,"4,1"
152,Daniel Craig,26 octobre 2012,Skyfall,"4,0",Sam Mendes,"4,1"
153,Denzel Washington,13 février 2013,Flight,"3,2",Robert Zemeckis,"3,7"
154,Taylor Kitsch,26 septembre 2012,Savages,"3,0",Oliver Stone,"3,5"
155,Sandrine Kiberlain,16 octobre 2013,9 mois ferme,"4,1",Albert Dupontel,"3,6"
156,Tom Cruise,26 décembre 2012,Jack Reacher,"3,2",Christopher McQuarrie,"3,6"
157,Maribel Verdú,23 janvier 2013,Blancanieves,"4,0",Pablo Berger,"3,4"
158,Dane DeHaan,22 février 2012,Chronicle,"3,4",Josh Trank,"3,5"
159,Bernard Campan,23 octobre 2013,Le Coeur des hommes 3,"1,8",Marc Esposito,"2,9"
160,Marion Cotillard,17 mai 2012,De rouille et d'os,"4,3",Jacques Audiard,"3,9"
161,François-Xavier Demaison,5 décembre 2012,Les Mondes de Ralph,"3,3",Rich Moore,"4,1"
162,Dwayne Johnson,15 février 2012,Voyage au centre de la Terre 2 : L'île mystérieuse,"2,1",Brad Peyton,"3,2"
163,Hugh Jackman,13 février 2013,Les Misérables,"2,3",Tom Hooper,"3,2"
164,Mads Mikkelsen,21 novembre 2012,Royal Affair,"3,6",Nikolaj Arcel,"4,2"
165,Daniel Day-Lewis,30 janvier 2013,Lincoln,"3,9",Steven Spielberg,"3,6"
166,Taylor Kitsch,7 mars 2012,John Carter,"3,1",Andrew Stanton,"3,3"
167,Taylor Kitsch,11 avril 2012,Battleship,"2,3",Peter Berg,"2,8"
168,José Garcia,26 septembre 2012,Les Seigneurs,"2,6",Olivier Dahan,"2,2"
169,Johnny Depp,9 mai 2012,Dark Shadows,"3,5",Tim Burton,"3,4"
170,Ben Affleck,7 novembre 2012,Argo,"3,7",Ben Affleck,"4,2"
171,Jean-Noël Martin,22 janvier 2014,Prêt à tout,"2,2",Nicolas Cuche,"2,8"
172,Keira Knightley,5 décembre 2012,Anna Karenine,"3,2",Joe Wright,"3,3"
173,Jeremy Renner,19 septembre 2012,Jason Bourne : l'héritage,"2,8",Tony Gilroy,"3,1"
174,Sacha Baron Cohen,20 juin 2012,The Dictator,"2,8",Larry Charles,"3,1"
175,Joaquin Phoenix,9 janvier 2013,The Master,"3,8",Paul Thomas Anderson,"2,8"
176,Jason Biggs,2 mai 2012,American Pie 4,"1,6",Jon Hurwitz,"3,7"
177,Reem Kherici,17 juillet 2013,Paris à tout prix,"2,8",Reem Kherici,"3,2"
178,Jean Dujardin,29 février 2012,Les Infidèles,"3,0",Jean Dujardin,"2,1"
179,Rita Blanco,24 avril 2013,La Cage Dorée,"3,5",Ruben Alves,"4,0"
180,Charlie Hunnam,17 juillet 2013,Pacific Rim,"3,4",Guillermo del Toro,"3,7"
181,Mark Wahlberg,11 septembre 2013,No Pain No Gain,"3,1",Michael Bay,"3,3"
182,Léa Seydoux,9 octobre 2013,La Vie d'Adèle - Chapitres 1 et 2,"4,6",Abdellatif Kechiche,"3,7"
183,Tom Hanks,20 novembre 2013,Capitaine Phillips,"3,5",Paul Greengrass,"4,2"
