,actors,date,genres,movie,press_rating,producers,spectators_rating
162,Richard Basehart ; Gary Merrill ; Oskar Werner ; ,10 novembre 2015,Guerre ; ,Le Traître,,Anatole Litvak ; ,3.3
163,,11 octobre 2017,Documentaire ; ,Le Trésor d’Angoulême,,Gilles Coudert ; Damien Faure ; ,
164,Jean Gabin ; Fabio Testi ; Uschi Glas ; ,13 avril 2005,Policier ; Drame ; ,Le Tueur,,Denys de La Patellière ; ,2.5
165,Michael Douglas ; Susan Anspach ; Lawrence Dane ; ,/,Drame ; ,Le Vainqueur,,Steven Hilliard Stern ; ,3.4
166,Montagu Love ; Dorothy Cumming ; Lillian Gish ; ,16 septembre 2013,Comédie dramatique ; ,Le Vent,,Victor Sjöstrom ; ,4.1
167,Catherine Deneuve ; Xavier Beauvois ; Daniel Duval ; ,3 mars 1999,Comédie dramatique ; ,Le Vent de la nuit,4.0,Philippe Garrel ; ,3.4
168,Lou Diamond Phillips ; Lance Baker ; Gary Basaraba ; ,10 juin 1992,Policier ; ,Le Vent sombre,,Errol Morris ; ,3.2
169,Marlon Brando ; David McMahon ; Eiji Okada ; ,12 août 2003,Aventure ; Drame ; ,Le Vilain Américain,,George Englund ; ,3.0
170,Peter Bayliss ; Hugh Laurie ; Paul Panting ; ,8 juillet 2003,Animation ; ,Le Vilain petit canard,,David Elvin ; ,3.1
171,Bruno Solo ; M. Pokora ; Leslie Bourgouin ; ,14 février 2007,Animation ; ,Le Vilain petit canard et moi,2.7,Michael Hegner ; Karsten Kiilerich ; ,2.1
172,Humphrey Bogart ; Gloria Grahame ; Frank Lovejoy ; ,12 mars 2003,Drame ; Policier ; ,Le Violent,,Nicholas Ray ; ,4.0
173,Tracey Gold ; Don Harvey ; Brigitta Dau ; ,/,Drame ; Thriller ; ,Le Visage du mal (TV),,Mary Lambert ; ,3.1
174,Gaby Morlay ; Camille Bert ; Elvire Popesco ; ,7 février 2017,Drame ; ,Le Voile bleu,,Jean Stelli ; ,3.3
